Signe,,,,,,,Informations,,,,,Validation,,,,,,Traitement vidéo,,,,,,
Domaine,Sous-domaine,Mot,N°ID,N° Signe,Définition,Explication,Date,Nom,Prénom,Origine,Version,Format,Clarté,Total,Remarques,,,Téléchargé,Monté,Miniature,YouTube,Site Web,Lien YouTube,
Physique,Mécanique  ,Poussée d'Archimède,34,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/rxWX9k1m_fw,
Santé,Anatomie,Côlon,35,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/rkq4TEI7G94,
Santé,Anatomie,Côlon,36,2,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/SEfnYltQkIA,
Santé,Anatomie,Neurone,37,2,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/UM-aXukG3g4,
Santé,Anatomie,Neurone,38,3,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/RcAOEMmhc0Y,
Santé,Anatomie,Thyroïde,39,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/pzK93u_2nGg,
Santé,Anatomie,Thyroïde,40,2,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/MHbywoVbxJA,
Chimie,Analytique,Chromatographie,41,1,non,oui,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM+ part de Laure,,,oui,oui,oui,oui,non,https://youtu.be/82HFX8ipL2s,
Chimie,Analytique,Chromatographie,42,2,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/zaQ_XsjSQOY,
Physique,Electronique,Oscilloscope,43,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/1YglEFmvuwk,
Physique,Electronique,Condensateur,44,1,non,oui,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/SC0IRk0crRw,
Informatique,Réseau,Requête,45,1,non,non,16/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/NeI4SQ2SNgw,
Technologie,Mécanique industrielle,Bureau d'études,46,1,oui,oui,16/12/2017,,,Séminaire,mov,1,1,2,"Vidéo de Cyril incomplète, à refaire",,,oui,oui,oui,oui,non,https://youtu.be/wsnrAe12iDM,
Informatique,Matériel Informatique,Système embarqué,47,1,non,non,16/12/2017,,,Séminaire,mp4,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/jHu_7OG7IWM,
Informatique,Réseau,Peer to peer,48,1,non,oui,16/12/2017,,,Séminaire,mp4,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/sAgeo9gT7Ms,
Informatique,Matériel Informatique,Utilisabilté,49,2,non,non,16/12/2017,,,Séminaire,mov,1,1,2,Manque l'explication,,,oui,oui,oui,oui,oui,https://youtu.be/9hyY0rj6IM8,
Mathématiques,Statistiques/Probabilités,Corrélation,50,1,non,oui,16/12/2017,,,Séminaire,mp4,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/lJBHCW4GVbQ,
Mathématiques,Statistiques/Probabilités,Dispersion,51,1,non,oui,16/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,à vérifier,https://youtu.be/LD77sW7D-Ko,
Physique,Quantique,Saut quantique,52,1,non,non,16/12/2017,,,Séminaire,mp4,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/i4NCY7ih2cc,
Santé,Physiologie,Défense immunitaire,53,1,non,non,16/12/2017,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/_D2aE35mGEc,
Sciences de la Vie,Biochimie,Métabolisme,54,1,non,non,16/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/7KoqkRaPFr4,
Santé,Physiologie,Physiologie,55,1,non,non,16/12/2017,,,Séminaire,mp4,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/VIFu9M0fwds,
